SampleID,batch1,batch2
P666,24hrs,Replicate 1
P667,24hrs,Replicate 1
P668,24hrs,Replicate 1
P669,24hrs,Replicate 1
P670,24hrs,Replicate 1
P671,24hrs,Replicate 1
P672,24hrs,Replicate 1
P673,24hrs,Replicate 1
P674,24hrs,Replicate 1
P675,24hrs,Replicate 1
P676,24hrs,Replicate 1
P677,24hrs,Replicate 1
P678,24hrs,Replicate 1
P679,24hrs,Replicate 1
P680,24hrs,Replicate 1
P681,24hrs,Replicate 1
P682,24hrs,Replicate 1
P683,24hrs,Replicate 1
P684,24hrs,Replicate 1
P685,24hrs,Replicate 1
P686,24hrs,Replicate 1
P687,24hrs,Replicate 1
P688,24hrs,Replicate 1
P689,24hrs,Replicate 1
P690,24hrs,Replicate 1
P691,24hrs,Replicate 1
P692,24hrs,Replicate 1
P693,24hrs,Replicate 1
P694,24hrs,Replicate 1
P695,24hrs,Replicate 1
P696,24hrs,Replicate 1
P697,24hrs,Replicate 1
P698,24hrs,Replicate 1
P699,24hrs,Replicate 1
P700,24hrs,Replicate 1
P701,24hrs,Replicate 1
P702,24hrs,Replicate 1
P703,24hrs,Replicate 1
P704,24hrs,Replicate 1
P705,24hrs,Replicate 1
P706,24hrs,Replicate 1
P707,24hrs,Replicate 1
P708,24hrs,Replicate 1
P709,24hrs,Replicate 1
P710,24hrs,Replicate 1
P711,24hrs,Replicate 1
P712,24hrs,Replicate 1
P713,24hrs,Replicate 1
P714,24hrs,Replicate 2
P715,24hrs,Replicate 2
P716,24hrs,Replicate 2
P717,24hrs,Replicate 2
P718,24hrs,Replicate 2
P719,24hrs,Replicate 2
P720,24hrs,Replicate 2
P721,24hrs,Replicate 2
P722,24hrs,Replicate 2
P723,24hrs,Replicate 2
P724,24hrs,Replicate 2
P725,24hrs,Replicate 2
P726,24hrs,Replicate 2
P727,24hrs,Replicate 2
P728,24hrs,Replicate 2
P729,24hrs,Replicate 2
P730,24hrs,Replicate 2
P731,24hrs,Replicate 2
P732,24hrs,Replicate 2
P733,24hrs,Replicate 2
P734,24hrs,Replicate 2
P735,24hrs,Replicate 2
P736,24hrs,Replicate 2
P737,24hrs,Replicate 2
P738,24hrs,Replicate 2
P739,24hrs,Replicate 2
P740,24hrs,Replicate 2
P741,24hrs,Replicate 2
P742,24hrs,Replicate 2
P743,24hrs,Replicate 2
P744,24hrs,Replicate 2
P745,24hrs,Replicate 2
P746,24hrs,Replicate 2
P747,24hrs,Replicate 2
P748,24hrs,Replicate 2
P749,24hrs,Replicate 2
P750,24hrs,Replicate 2
P751,24hrs,Replicate 2
P752,24hrs,Replicate 2
P753,24hrs,Replicate 2
P754,24hrs,Replicate 2
P755,24hrs,Replicate 2
P756,24hrs,Replicate 2
P757,24hrs,Replicate 2
P758,24hrs,Replicate 2
P759,24hrs,Replicate 2
P760,24hrs,Replicate 2
P761,24hrs,Replicate 2
P762,24hrs,Replicate 2
P763,24hrs,Replicate 2
P764,24hrs,Replicate 2
P765,24hrs,Replicate 2
P766,24hrs,Replicate 2
P767,24hrs,Replicate 2
P768,24hrs,Replicate 2
P769,24hrs,Replicate 2
P770,24hrs,Replicate 2
P771,24hrs,Replicate 2
P772,24hrs,Replicate 2
P773,24hrs,Replicate 2
P774,24hrs,Replicate 2
P775,24hrs,Replicate 2
P776,24hrs,Replicate 2
P777,24hrs,Replicate 2
P778,24hrs,Replicate 2
P779,24hrs,Replicate 2
P780,24hrs,Replicate 2
P781,24hrs,Replicate 2
P782,24hrs,Replicate 2
P783,24hrs,Replicate 2
P784,24hrs,Replicate 2
P785,24hrs,Replicate 2
P786,24hrs,Replicate 2
P787,24hrs,Replicate 2
P788,24hrs,Replicate 2
P789,24hrs,Replicate 2
P790,24hrs,Replicate 2
P791,24hrs,Replicate 2
P792,24hrs,Replicate 2
P793,24hrs,Replicate 2
P794,24hrs,Replicate 2
P795,24hrs,Replicate 2
P796,24hrs,Replicate 2
P797,24hrs,Replicate 2
P798,24hrs,Replicate 2
P799,24hrs,Replicate 2
P800,24hrs,Replicate 2
P801,24hrs,Replicate 2
P802,24hrs,Replicate 2
P803,24hrs,Replicate 2
P804,24hrs,Replicate 2
P805,24hrs,Replicate 2
P806,24hrs,Replicate 2
P807,24hrs,Replicate 2
P808,24hrs,Replicate 2
P809,24hrs,Replicate 2
P810,24hrs,Replicate 2
P811,24hrs,Replicate 2
P812,24hrs,Replicate 2
P813,24hrs,Replicate 2
P814,24hrs,Replicate 2
P815,24hrs,Replicate 2
P816,24hrs,Replicate 2
P817,24hrs,Replicate 2
P818,24hrs,Replicate 2
P819,24hrs,Replicate 2
P820,24hrs,Replicate 2
P821,24hrs,Replicate 2
P822,24hrs,Replicate 2
P823,24hrs,Replicate 2
P824,24hrs,Replicate 2
P825,24hrs,Replicate 2
P826,24hrs,Replicate 2
P827,24hrs,Replicate 2
P828,24hrs,Replicate 2
P829,24hrs,Replicate 2
P830,24hrs,Replicate 2
P831,24hrs,Replicate 2
P832,24hrs,Replicate 2
P833,24hrs,Replicate 2
P834,24hrs,Replicate 2
P835,24hrs,Replicate 2
P836,24hrs,Replicate 2
P837,24hrs,Replicate 2
P838,24hrs,Replicate 2
P839,24hrs,Replicate 2
P840,24hrs,Replicate 2
P841,24hrs,Replicate 2
P842,24hrs,Replicate 2
P843,24hrs,Replicate 2
P844,24hrs,Replicate 2
P845,24hrs,Replicate 2
P846,24hrs,Replicate 2
P847,24hrs,Replicate 2
P848,24hrs,Replicate 2
P849,24hrs,Replicate 2
P850,24hrs,Replicate 2
P851,24hrs,Replicate 2
P852,24hrs,Replicate 2
P853,24hrs,Replicate 2
P854,24hrs,Replicate 2
P855,24hrs,Replicate 2
P856,24hrs,Replicate 2
P857,24hrs,Replicate 2
P858,24hrs,Replicate 2
P859,24hrs,Replicate 2
P860,24hrs,Replicate 2
P861,24hrs,Replicate 2
P862,24hrs,Replicate 2
P863,24hrs,Replicate 2
P864,24hrs,Replicate 2
P865,24hrs,Replicate 2
P866,24hrs,Replicate 2
P867,24hrs,Replicate 2
P868,24hrs,Replicate 2
P869,24hrs,Replicate 2
P870,24hrs,Replicate 2
P871,24hrs,Replicate 2
P872,24hrs,Replicate 2
P873,24hrs,Replicate 2
P874,24hrs,Replicate 2
P875,24hrs,Replicate 2
P876,24hrs,Replicate 2
P877,24hrs,Replicate 2
P878,24hrs,Replicate 2
P879,24hrs,Replicate 2
P880,24hrs,Replicate 2
P881,24hrs,Replicate 2
P882,24hrs,Replicate 2
P883,24hrs,Replicate 2
P884,24hrs,Replicate 2
P885,24hrs,Replicate 2
P886,24hrs,Replicate 2
P887,24hrs,Replicate 2
P888,24hrs,Replicate 2
P889,24hrs,Replicate 2
P890,24hrs,Replicate 2
P891,24hrs,Replicate 2
P892,24hrs,Replicate 2
P893,24hrs,Replicate 2
P894,24hrs,Replicate 2
P895,24hrs,Replicate 2
P896,24hrs,Replicate 2
P897,24hrs,Replicate 2
P898,24hrs,Replicate 2
P899,24hrs,Replicate 2
P900,24hrs,Replicate 2
P901,24hrs,Replicate 2
P902,24hrs,Replicate 2
P903,24hrs,Replicate 2
P904,24hrs,Replicate 2
P905,24hrs,Replicate 2
P906,24hrs,Replicate 2
P907,24hrs,Replicate 2
P908,24hrs,Replicate 2
P909,24hrs,Replicate 2
P910,24hrs,Replicate 2
P911,24hrs,Replicate 2
P912,24hrs,Replicate 2
P913,24hrs,Replicate 2
P914,24hrs,Replicate 2
P915,24hrs,Replicate 2
P916,24hrs,Replicate 2
P917,24hrs,Replicate 2
P918,24hrs,Replicate 2
P919,24hrs,Replicate 2
P920,24hrs,Replicate 2
P921,24hrs,Replicate 2
P922,24hrs,Replicate 2
P923,24hrs,Replicate 2
P924,24hrs,Replicate 2
P925,24hrs,Replicate 2
P926,24hrs,Replicate 2
P927,24hrs,Replicate 2
P928,24hrs,Replicate 2
P929,24hrs,Replicate 2
P930,24hrs,Replicate 2
P931,24hrs,Replicate 2
P932,24hrs,Replicate 2
P933,24hrs,Replicate 2
P934,24hrs,Replicate 2
P935,24hrs,Replicate 2
P936,24hrs,Replicate 2
P937,24hrs,Replicate 2
P938,24hrs,Replicate 2
P939,24hrs,Replicate 2
P940,24hrs,Replicate 2
P941,24hrs,Replicate 2
P942,24hrs,Replicate 2
P943,24hrs,Replicate 2
P944,24hrs,Replicate 2
P945,24hrs,Replicate 2
P946,24hrs,Replicate 2
P947,24hrs,Replicate 2
P948,24hrs,Replicate 2
P949,24hrs,Replicate 2
P950,24hrs,Replicate 2
P951,24hrs,Replicate 2
P952,24hrs,Replicate 2
P953,24hrs,Replicate 2
P954,24hrs,Replicate 2
P955,24hrs,Replicate 2
P956,24hrs,Replicate 2
P957,24hrs,Replicate 2
P958,24hrs,Replicate 2
P959,24hrs,Replicate 2
P960,24hrs,Replicate 2
P961,24hrs,Replicate 2
P962,24hrs,Replicate 2
P963,24hrs,Replicate 2
P964,24hrs,Replicate 2
P965,24hrs,Replicate 2
P966,24hrs,Replicate 2
P967,24hrs,Replicate 2
P968,24hrs,Replicate 2
P969,24hrs,Replicate 2
P970,24hrs,Replicate 2
P971,24hrs,Replicate 2
P972,24hrs,Replicate 2
P973,24hrs,Replicate 2
P974,24hrs,Replicate 2
P975,24hrs,Replicate 2
P976,24hrs,Replicate 2
P977,24hrs,Replicate 2
P978,24hrs,Replicate 2
P979,24hrs,Replicate 2
P980,24hrs,Replicate 2
P981,24hrs,Replicate 2
P982,24hrs,Replicate 2
P983,24hrs,Replicate 2
P984,24hrs,Replicate 2
P985,24hrs,Replicate 2
P986,24hrs,Replicate 2
P987,24hrs,Replicate 2
P988,24hrs,Replicate 2
P989,24hrs,Replicate 2
P990,24hrs,Replicate 2
P991,24hrs,Replicate 2
P992,24hrs,Replicate 2
P993,24hrs,Replicate 2
P994,24hrs,Replicate 2
P995,24hrs,Replicate 2
P996,24hrs,Replicate 2
P997,24hrs,Replicate 2
P998,24hrs,Replicate 2
P999,24hrs,Replicate 2
P1000,24hrs,Replicate 2
P1001,24hrs,Replicate 2
P1002,24hrs,Replicate 2
P1003,24hrs,Replicate 2
P1004,24hrs,Replicate 2
P1005,24hrs,Replicate 2
P1006,24hrs,Replicate 2
P1007,24hrs,Replicate 2
P1008,24hrs,Replicate 2
P1009,24hrs,Replicate 2
P1010,24hrs,Replicate 2
P1011,24hrs,Replicate 2
P1012,24hrs,Replicate 2
P1013,24hrs,Replicate 2
P1014,24hrs,Replicate 2
P1015,24hrs,Replicate 2
P1016,24hrs,Replicate 2
P1017,24hrs,Replicate 2
P1018,24hrs,Replicate 2
P1019,24hrs,Replicate 2
P1020,24hrs,Replicate 2
P1021,24hrs,Replicate 2
P1022,24hrs,Replicate 2
P1023,24hrs,Replicate 2
P1024,24hrs,Replicate 2
P1025,24hrs,Replicate 2
P1026,24hrs,Replicate 2
P1027,24hrs,Replicate 2
P1028,24hrs,Replicate 2
P1029,24hrs,Replicate 2
P1030,24hrs,Replicate 2
P1031,24hrs,Replicate 2
P1032,24hrs,Replicate 2
P1033,24hrs,Replicate 2
P1034,24hrs,Replicate 2
P1035,24hrs,Replicate 2
P1036,24hrs,Replicate 2
P1037,24hrs,Replicate 2
P1038,24hrs,Replicate 2
P1039,24hrs,Replicate 2
P1040,24hrs,Replicate 2
P1041,24hrs,Replicate 2
P1042,24hrs,Replicate 2
P1043,24hrs,Replicate 2
P1044,24hrs,Replicate 2
P1045,24hrs,Replicate 2
P1046,24hrs,Replicate 2
P1047,24hrs,Replicate 2
P1048,24hrs,Replicate 2
P1049,24hrs,Replicate 2
P1050,24hrs,Replicate 2
P1051,24hrs,Replicate 2
P1052,24hrs,Replicate 2
P1053,24hrs,Replicate 2
P1054,24hrs,Replicate 2
P1055,24hrs,Replicate 2
P1056,24hrs,Replicate 2
P1057,24hrs,Replicate 2
P1058,24hrs,Replicate 2
P1059,24hrs,Replicate 2
P1060,24hrs,Replicate 2
P1061,24hrs,Replicate 2
P1062,24hrs,Replicate 2
P1063,24hrs,Replicate 2
P1064,24hrs,Replicate 2
P1065,24hrs,Replicate 2
P1066,24hrs,Replicate 2
P1067,24hrs,Replicate 2
P1068,24hrs,Replicate 2
P1069,24hrs,Replicate 2
P1070,24hrs,Replicate 2
P1071,24hrs,Replicate 2
P1072,24hrs,Replicate 2
P1073,24hrs,Replicate 2
P1074,24hrs,Replicate 2
P1075,24hrs,Replicate 2
P1076,24hrs,Replicate 2
P1077,24hrs,Replicate 2
P1078,24hrs,Replicate 2
P1079,24hrs,Replicate 2
P1080,24hrs,Replicate 2
P1081,24hrs,Replicate 2
P1082,24hrs,Replicate 2
P1083,24hrs,Replicate 2
P1084,24hrs,Replicate 2
P1085,24hrs,Replicate 2
P1086,24hrs,Replicate 2
P1087,24hrs,Replicate 2
P1088,24hrs,Replicate 2
P1089,24hrs,Replicate 2
P1090,24hrs,Replicate 2
P1091,24hrs,Replicate 2
P1092,24hrs,Replicate 2
P1093,24hrs,Replicate 2
P1094,24hrs,Replicate 2
P1095,24hrs,Replicate 2
P1096,24hrs,Replicate 2
P1097,24hrs,Replicate 2
P1098,24hrs,Replicate 2
P1099,24hrs,Replicate 2
P1100,24hrs,Replicate 2
P1101,24hrs,Replicate 2
P1102,24hrs,Replicate 2
P1103,24hrs,Replicate 2
P1104,24hrs,Replicate 2
P1105,24hrs,Replicate 2
P1106,24hrs,Replicate 2
P1107,24hrs,Replicate 2
P1108,24hrs,Replicate 2
P1109,24hrs,Replicate 2
P1110,24hrs,Replicate 2
P1111,24hrs,Replicate 2
P1112,24hrs,Replicate 2
P1113,24hrs,Replicate 2
P1114,24hrs,Replicate 2
P1115,24hrs,Replicate 2
P1116,24hrs,Replicate 2
P1117,24hrs,Replicate 2
P1118,24hrs,Replicate 2
P1119,24hrs,Replicate 2
P1120,24hrs,Replicate 2
P1121,24hrs,Replicate 2
P1122,24hrs,Replicate 2
P1123,24hrs,Replicate 2
P1124,24hrs,Replicate 2
P1125,24hrs,Replicate 2
P1126,24hrs,Replicate 2
P1127,24hrs,Replicate 2
P1128,24hrs,Replicate 2
P1129,24hrs,Replicate 2
P1130,24hrs,Replicate 2
P1131,24hrs,Replicate 2
P1132,24hrs,Replicate 2
P1133,24hrs,Replicate 2
P1134,24hrs,Replicate 2
P1135,24hrs,Replicate 2
P1136,24hrs,Replicate 2
P1137,24hrs,Replicate 2
P1138,24hrs,Replicate 2
P1139,24hrs,Replicate 2
P1140,24hrs,Replicate 2
P1141,24hrs,Replicate 2
P1142,24hrs,Replicate 2
P1143,24hrs,Replicate 2
P1144,24hrs,Replicate 2
P1145,24hrs,Replicate 2
P1146,24hrs,Replicate 2
P1147,24hrs,Replicate 2
P1148,24hrs,Replicate 2
P1149,24hrs,Replicate 2
P1150,24hrs,Replicate 2
P1151,24hrs,Replicate 2
P1152,72hrs,Replicate 2
P1153,72hrs,Replicate 2
P1154,72hrs,Replicate 2
P1155,72hrs,Replicate 2
P1156,72hrs,Replicate 2
P1157,72hrs,Replicate 2
P1158,72hrs,Replicate 2
P1159,72hrs,Replicate 2
P1160,72hrs,Replicate 2
P1161,72hrs,Replicate 2
P1162,72hrs,Replicate 2
P1163,72hrs,Replicate 2
P1164,72hrs,Replicate 2
P1165,72hrs,Replicate 2
P1166,72hrs,Replicate 2
P1167,72hrs,Replicate 2
P1168,72hrs,Replicate 2
P1169,72hrs,Replicate 2
P1170,72hrs,Replicate 2
P1171,72hrs,Replicate 2
P1172,72hrs,Replicate 2
P1173,72hrs,Replicate 2
P1174,72hrs,Replicate 2
P1175,72hrs,Replicate 2
P1176,72hrs,Replicate 2
P1177,72hrs,Replicate 2
P1178,72hrs,Replicate 2
P1179,72hrs,Replicate 2
P1180,72hrs,Replicate 2
P1181,72hrs,Replicate 2
P1182,72hrs,Replicate 2
P1183,72hrs,Replicate 2
P1184,72hrs,Replicate 2
P1185,72hrs,Replicate 2
P1186,72hrs,Replicate 2
P1187,72hrs,Replicate 2
P1188,72hrs,Replicate 2
P1189,72hrs,Replicate 2
P1190,72hrs,Replicate 2
P1191,72hrs,Replicate 2
P1192,72hrs,Replicate 2
P1193,72hrs,Replicate 2
P1194,72hrs,Replicate 2
P1195,72hrs,Replicate 2
P1196,72hrs,Replicate 2
P1197,72hrs,Replicate 2
P1198,72hrs,Replicate 2
P1199,72hrs,Replicate 2
P1200,72hrs,Replicate 2
P1201,72hrs,Replicate 2
P1202,72hrs,Replicate 2
P1203,72hrs,Replicate 2
P1204,72hrs,Replicate 2
P1205,72hrs,Replicate 2
P1206,72hrs,Replicate 2
P1207,72hrs,Replicate 2
P1208,72hrs,Replicate 2
P1209,72hrs,Replicate 2
P1210,72hrs,Replicate 2
P1211,72hrs,Replicate 2
P1212,72hrs,Replicate 2
P1213,72hrs,Replicate 2
P1214,72hrs,Replicate 2
P1215,72hrs,Replicate 2
P1216,72hrs,Replicate 2
P1217,72hrs,Replicate 2
P1218,72hrs,Replicate 2
P1219,72hrs,Replicate 2
P1220,72hrs,Replicate 2
P1221,72hrs,Replicate 2
P1222,72hrs,Replicate 2
P1223,72hrs,Replicate 2
P1224,72hrs,Replicate 2
P1225,72hrs,Replicate 2
P1226,72hrs,Replicate 2
P1227,72hrs,Replicate 2
P1228,72hrs,Replicate 2
P1229,72hrs,Replicate 2
P1230,72hrs,Replicate 2
P1231,72hrs,Replicate 2
P1232,72hrs,Replicate 2
P1233,72hrs,Replicate 2
P1234,72hrs,Replicate 2
P1235,72hrs,Replicate 2
P1236,72hrs,Replicate 2
P1237,72hrs,Replicate 2
P1238,72hrs,Replicate 2
P1239,72hrs,Replicate 2
P1240,72hrs,Replicate 2
P1241,72hrs,Replicate 2
P1242,72hrs,Replicate 2
P1243,72hrs,Replicate 2
P1244,72hrs,Replicate 2
P1245,72hrs,Replicate 2
P1246,72hrs,Replicate 2
P1247,72hrs,Replicate 2
P1248,72hrs,Replicate 2
P1249,72hrs,Replicate 2
P1250,72hrs,Replicate 2
P1251,72hrs,Replicate 2
P1252,72hrs,Replicate 2
P1253,72hrs,Replicate 2
P1254,72hrs,Replicate 2
P1255,72hrs,Replicate 2
P1256,72hrs,Replicate 2
P1257,72hrs,Replicate 2
P1258,72hrs,Replicate 2
P1259,72hrs,Replicate 2
P1260,72hrs,Replicate 2
P1261,72hrs,Replicate 2
P1262,72hrs,Replicate 2
P1263,72hrs,Replicate 2
P1264,72hrs,Replicate 2
P1265,72hrs,Replicate 2
P1266,72hrs,Replicate 2
P1267,72hrs,Replicate 2
P1268,72hrs,Replicate 2
P1269,72hrs,Replicate 2
P1270,72hrs,Replicate 2
P1271,72hrs,Replicate 2
P1272,72hrs,Replicate 2
P1273,72hrs,Replicate 2
P1274,72hrs,Replicate 2
P1275,72hrs,Replicate 2
P1276,72hrs,Replicate 2
P1277,72hrs,Replicate 2
P1278,72hrs,Replicate 2
P1279,72hrs,Replicate 2
P1280,72hrs,Replicate 2
P1281,72hrs,Replicate 2
P1282,72hrs,Replicate 2
P1283,72hrs,Replicate 2
P1284,72hrs,Replicate 2
P1285,72hrs,Replicate 2
P1286,72hrs,Replicate 2
P1287,72hrs,Replicate 2
P1288,72hrs,Replicate 2
P1289,72hrs,Replicate 2
P1290,72hrs,Replicate 2
P1291,72hrs,Replicate 2
P1292,72hrs,Replicate 2
P1293,72hrs,Replicate 2
P1294,72hrs,Replicate 2
P1295,72hrs,Replicate 2
P1296,72hrs,Replicate 2
P1297,72hrs,Replicate 2
P1298,72hrs,Replicate 2
P1299,72hrs,Replicate 2
P1300,72hrs,Replicate 2
P1301,72hrs,Replicate 2
P1302,72hrs,Replicate 2
P1303,72hrs,Replicate 2
P1304,72hrs,Replicate 2
P1305,72hrs,Replicate 2
