"id","color","group1_s1","group1_s2","group2_s1","group2_s2","group2_s3","group3_s1","group3_s2","group3_s3"
"PPAPDC1A","black",1.639,0.214,-0.377,-3.097,1.393,0.911,1.32,-0.154
"SHC4","black",1.631,-0.505,-0.651,-0.973,-0.048,-0.666,0.503,-0.349
"ZNF552","black",0.24,-1.252,-1.879,-0.195,-1.691,-0.012,-1.133,0.354
"IL12RB2","black",-0.141,2.78,2.338,1.308,0.415,1.321,0.025,2.385
"ABAT","black",-0.981,-0.896,-2.019,1.412,-1.366,-1.994,-0.636,-0.885
"WWP1","black",-1.345,-0.62,0.389,0.301,-0.321,-0.9,-1.251,-0.264
"CHI3L1","black",-0.579,-2.587,0.947,1.288,-1.846,-0.724,-1.382,-0.665
"PMAIP1","black",-2.003,-1.864,-1.089,-1.13,-1.923,-2.401,-2.351,-1.366
"VLDLR","black",1.827,0.689,-0.487,-3.425,0.554,0.227,1.357,2.411
"DSC2","black",1.405,1.525,1.336,-0.611,-0.007,-0.76,-0.257,0.389
"NOX4","black",0.987,-0.411,-1.823,-2.127,1.517,0.323,1.116,-0.696
"PTX3","black",-0.041,-1.489,-0.479,-1.235,-0.93,-1.214,-0.845,-0.789
"GBP5","black",-0.431,-0.372,1.916,1.58,0.275,0.637,-2.298,1.697
"PSAT1","black",4.101,2.111,3.181,0.864,-0.051,3.237,1.492,3.588
"STAC2","black",1.928,-1.332,-1.038,-0.649,-1.364,3.015,-0.5,2.825
"RGS22","black",-1.247,-2.88,-0.595,-2.632,0.043,-2.782,-2.292,-1.81
"PLCD4","black",-0.124,0.829,0.07,1.699,1.439,-2.215,-0.167,-2.134
"RAB27B","black",1.695,1.78,1.465,0.6,2.241,-0.556,-0.215,0.075
"TSPAN13","black",1.151,-0.805,-0.922,0.354,-0.347,-0.462,-0.453,-0.992
"TGM1","black",-0.757,-0.001,0.838,-0.761,0.251,0.104,-0.643,-0.168
"ST6GALNAC1","black",2.482,-0.572,-0.338,3.425,-0.69,3.607,3.682,3.248
"CXCL1","black",4.676,-2.203,1.85,-0.61,-1.054,-0.672,-0.164,4.1
"IGFL2","black",3.677,2.339,0.868,-1.792,2.223,-0.534,0.796,0.81
"IYD","black",3.524,1.38,0.675,4.214,2.745,2.598,1.789,-0.866
"DEPDC1B","black",0.104,0.409,0.857,0.322,-0.313,0.998,0.021,1.948
"MYB","black",-2.518,-1.721,-0.657,0.751,-3.298,-3.089,-2.345,-1.326
"BMPR1B","black",0.148,-1.886,0.145,-1.138,1.533,-1.383,-1.185,-0.41
"SH2D2A","black",-0.091,-0.454,2.084,0.744,-0.502,0.994,-1.22,0.611
"CNGA1","black",1.325,-1.474,-1.345,0.547,-1.688,-0.524,-1.265,-0.819
"BAIAP3","black",-0.814,-2.649,-1.385,0.123,-0.673,-1.318,-0.164,-1.565
"KRT18","black",-0.63,-1.114,-1.196,0.971,1.706,0.318,0.249,0.359
"PLCB4","black",1.117,1.961,1.823,1,2.224,1.461,2.251,0.143
"RCAN1","black",1.489,-1.062,-0.705,0.675,-0.921,0.04,-0.675,0.02
"PREX1","black",-0.69,-0.603,-0.457,0,-1.828,-0.607,-1.773,-1.944
"NFIL3","black",-0.073,1.164,0.257,0.503,-0.589,0.16,0.002,1.355
"CCL20","black",2.427,-1.437,0.31,1.279,-0.049,3.033,-0.186,1.074
"ESR1","black",-4.647,-5.903,-3.072,1.627,-2.597,-5.29,-4.399,-4.93
"PRSS23","black",0.57,-1.082,-0.844,-1.869,-0.29,-0.141,-0.026,-1.357
"COX6C","black",-1.504,-0.813,0.514,-0.468,1.214,-0.882,-0.917,-0.206
"CDH3","black",2.842,-2.389,-0.764,-0.314,-0.397,-1.04,-0.753,2.237
"ZMYND10","black",-0.658,-2.735,-1.053,1.108,0.219,-3.469,-0.851,-1.081
"PRSS12","black",-0.565,-0.621,-0.01,-0.536,-0.183,0.245,-0.129,0.032
"DCD","black",0.483,2.922,8.876,2.59,1.516,5.439,6.114,2.206
"CCDC78","black",-0.986,-0.753,-0.247,0.04,-0.295,-0.202,-0.179,-0.454
"LCT","black",0.418,0.451,-0.346,0.464,0.468,6.752,-0.002,3.842
"PNMT","black",2.991,2.833,2.849,3.43,1.947,2.827,4.63,3.288
"XBP1","black",-0.512,-0.07,-0.348,0.735,-1.88,-0.603,-1.65,-0.177
"KIF14","black",0.244,-0.664,1.66,0.441,0.064,0.171,-0.218,1.473
"ATP13A5","black",2.428,2.268,0.56,-0.494,0.474,3.94,1.666,0.258
"ITPR1","black",-0.444,0.587,1.283,1.434,-0.137,-0.07,1.331,0.104
"GPR126","black",2.831,0.679,2.039,1.361,0.938,2.22,-0.133,1.247
"NRTN","black",0.014,0.136,2.075,0.652,0.107,-0.476,-0.536,-0.722
"AGBL2","black",-2.572,-0.516,-1.12,2.709,-0.21,-1.8,-0.3,-0.709
"ROPN1L","black",1.64,0.052,-0.819,2.367,-0.416,-0.52,0.011,-0.138
"KIF12","black",-1.573,-2.309,-0.017,0.736,0.89,-2.526,-1.038,0.614
"REEP1","black",2.574,1.698,0.43,1.769,1.129,1.363,2.281,0.368
"LEMD1","black",-0.878,-1.172,-0.402,1.287,-0.758,-0.97,0.007,0.799
"TRPV6","black",2.569,3.676,0.375,0.655,-0.393,2.784,2.037,3.39
"MMP1","black",-0.535,-0.138,-0.204,0.022,4.206,2.716,-0.123,3.538
"IL8","black",5.765,3.772,0.61,0.165,0.088,-0.603,0.979,3.958
"NXNL2","black",-0.981,-0.615,-2.401,-1.707,-0.665,-0.814,-0.98,-0.653
"IGF1R","black",-1.519,-3.249,-3.218,-0.558,-1.926,-2.736,-1.689,-3.269
"INPP4B","black",-1.895,-1.94,-2.735,-0.75,-0.427,-0.558,-0.095,-0.751
"APOBEC3A","black",0.482,0.002,2.034,2.785,2.049,0.529,-0.321,-0.191
"RARRES1","black",-0.215,1.296,0.803,0.762,1.708,0.572,-0.85,2.595
"OXGR1","black",-1.053,-1.294,-0.194,3.179,0.977,-1.524,-0.837,-0.756
"ABCC8","black",-2.03,3.128,-3.019,2.328,2.058,-2.613,0.514,-2.572
"KRT17","black",-1.751,-1.584,-2.236,-1.79,0.109,-2.173,0.364,-1.127
"PCOLCE2","black",-1.855,-0.693,-1.154,-2.135,-1.622,-0.854,0.258,-1.163
"IL22RA2","black",-0.199,-0.533,1.413,0.081,-0.86,0.92,-0.208,6.045
"GALNT3","black",2.146,0.097,-0.502,1.602,-0.175,0.618,0.598,1.466
"FAM81B","black",-0.855,-0.765,-0.388,2.182,-1.118,-0.388,-1.331,-1.162
"EDN2","black",1.223,1.243,-2.111,-2.323,-2.229,0.156,-1.637,0.718
"GNA14","black",3.62,0.236,-0.573,-0.034,2.627,-0.845,1.096,1.691
"CLDN8","black",1.34,-0.659,-0.103,-3.178,-3.445,3.65,0.541,2.302
"UCHL1","black",1.426,-0.272,0.654,-0.406,-0.007,-0.142,-0.358,-0.006
"CST9L","black",-1.049,-1.285,-0.796,4.559,-1.135,-1.364,-0.178,-1.164
"FGD3","black",-2.472,-1.635,-0.691,-0.943,-2.283,-1.491,-2.263,-2.408
"RIPK4","black",2.043,1.306,0.313,-2.329,-0.921,-0.845,-1.258,0.434
"GNMT","black",0.022,-1.155,-0.127,0.763,-1.375,2.923,2.992,2.485
"NEIL3","black",-0.936,0.778,0.935,-0.065,0.903,0.596,0.354,1.122
"AKR7A3","black",-1.56,1.79,-1.542,1.223,1.252,0.743,2.022,-0.871
"LRRC6","black",0.385,-2.726,0.048,-0.764,0.294,-2.11,-0.959,-2.502
"C20orf26","black",-1.291,-0.571,0.183,2.928,2.389,-0.841,0.688,-1.113
"CXCL11","black",-1.315,-0.15,3.503,1.597,0.394,1.47,-1.799,2.693
"SPINK4","black",-0.619,3.465,-0.873,0.124,-0.848,-1.328,-0.32,-0.344
"NXN","black",1.373,1.329,1.314,-1.8,-0.01,-0.187,-0.337,0.153
"KIT","black",0.254,1.901,1.302,-1.677,-1.586,-0.609,-1.105,0.145
"SLC22A4","black",-0.384,-2.094,-1.779,1.976,-0.323,-1.24,1.661,2.123
"NEK10","black",-0.059,-2.503,-2.353,-2.006,-1.864,-2.403,-1.619,-1.772
"RMND1","black",-1.125,-0.527,-0.856,1.136,-0.767,-1.199,-0.543,-0.926
"LDHB","black",0.373,-1.357,1.031,-0.297,-0.745,-0.675,-0.659,1.028
"AFF3","black",-1.376,1.755,1.066,1.073,-1.844,-0.392,-0.842,-0.76
"ZNF695","black",1.798,1.592,0.977,1.407,0.189,0.722,0.38,1.504
"PIP","black",0.208,-0.208,0.97,0.902,-0.133,0.216,0.14,0.145
"CEP55","black",-0.133,1.106,0.935,1.119,0.11,0.74,-0.561,1.201
"LRRC48","black",-0.583,-2.182,-0.938,0.607,-0.391,-1.469,-0.442,-1.331
"C6orf211","black",-0.933,-1.473,-1.112,2.106,-0.721,-1.88,-1.182,-1.248
"KRT6B","black",-3.395,-3.045,-4.811,-1.98,-0.41,-4.566,0.25,0.278
"FZD9","black",1.025,-0.577,-0.512,-1.021,-0.473,-0.362,0.032,1.01
"FOXC1","black",0.572,-1.371,-0.832,-0.869,-0.623,-0.478,-0.836,-0.039
"TTC18","black",-0.813,0.827,0.549,1.93,0.279,-0.16,1.367,-1.106
"TEX14","black",-1.05,-0.832,-0.574,0.241,0.283,-0.853,-1.088,-0.731
"KLRG2","black",-0.148,3.707,1.031,1.516,0.286,2.782,2.11,0.332
"GZMB","black",-0.401,0.198,1.888,1.84,-0.323,1.069,-1.777,1.373
"PRRT2","black",-2.297,-0.652,-0.739,0.025,0.725,-1.635,0.248,-1.202
"NOVA1","black",-0.557,-0.873,1.294,3.631,-0.958,-0.979,-0.518,-0.703
"KRT7","black",0.755,1.032,0.434,-3.185,-2.818,1.106,0.665,0.818
"AGTR1","black",0.16,2.922,-0.966,-2.609,-0.456,-2.007,-0.802,-2.035
"KCNK1","black",1.736,0.197,1.312,0.838,0.976,0.562,1.455,1.928
"NMU","black",-0.004,2.882,2.354,-0.972,1.712,2.111,3.159,5.542
"KCNJ15","black",0.899,-0.552,0.17,-1.409,1.155,0.002,0.583,-0.154
"PGLYRP2","black",-1.264,-1.919,-2.154,2.003,-1.92,-3.809,-1.527,-1.997
"DACH1","black",-3.895,2.339,-0.485,0.345,1.27,-3.826,0.469,-4.469
"DYNLRB2","black",-0.201,-0.256,-0.82,1.606,0.254,-2.554,0.369,-1.577
"CEACAM7","black",1.952,1.146,0.566,0.86,3.037,0.945,2.232,0.691
"EPHB1","black",0.302,0.216,0.715,-0.893,-0.555,-0.172,0.212,-0.977
"C1orf106","black",1.936,-0.171,0.061,3.152,-0.289,1.45,0.12,2.255
"OCA2","black",-0.334,-0.324,0.312,-0.705,-0.806,-0.295,-0.908,2.666
"C8orf46","black",-1.13,-1.439,-0.654,-0.607,-0.605,-0.576,-0.159,-0.882
"GPM6B","red",-0.866,-0.377,0.33,-2.174,-0.693,-0.503,0.041,-0.538
"ID4","red",1.494,-1.982,-2.808,-2.656,-1.64,-1.258,-0.719,-1.522
"KIAA1257","red",-0.897,-2.113,-1.342,2.778,2.655,-1.974,2.942,-0.826
"EGFL6","red",0.327,2.122,2.686,-0.777,0.437,-0.086,-0.8,0.473
"STARD10","red",0.116,-0.413,1.129,1.147,0.755,-0.061,1.422,0.352
"DLX6","blue",-0.076,-0.54,0.279,-0.503,0.05,-0.174,0.238,0.201
"DNALI1","blue",-3.381,-2.932,0.112,0.053,0.455,-3.877,-1.44,-4.609
"EEF1A2","blue",-0.095,-0.48,-0.975,-2.697,3.397,-1.9,2.882,-2.239
"CNTD1","blue",-0.97,-0.182,-0.326,2.154,0.407,0.677,-0.623,-1.7
"LAD1","blue",0.978,1.182,0.766,1.26,-0.687,0.786,1.216,1.52
